id,segment_id,label_arousal,label_valence,label_topic
23,1,0,0,6
23,2,0,0,7
23,3,1,0,1
23,4,2,0,2
23,5,2,1,4
23,6,2,1,1
23,7,1,1,2
23,8,2,2,0
23,9,2,2,0
23,10,2,2,4
23,11,2,2,4
23,12,2,2,0
23,13,2,0,0
23,14,2,0,5
23,15,2,2,7
23,16,0,1,7
24,1,2,0,6
24,2,2,2,2
24,3,2,1,7
24,4,1,1,6
24,5,1,2,2
24,6,1,2,3
24,7,1,2,1
24,8,1,2,8
24,9,0,0,3
24,10,2,0,9
24,11,0,1,6
24,12,1,0,9
24,13,2,0,9
24,14,1,0,8
24,15,2,0,9
24,16,2,0,8
24,17,1,0,2
24,18,1,0,0
24,19,1,0,6
24,20,2,2,1
24,21,2,2,8
24,22,2,2,4
24,23,2,2,9
24,24,1,2,4
24,25,1,1,5
24,26,1,1,4
24,27,1,2,0
24,28,1,2,3
24,29,1,1,4
24,30,1,1,4
24,31,2,1,4
24,32,2,1,4
24,33,2,1,7
24,34,2,0,6
25,1,0,0,6
25,2,1,0,0
25,3,2,2,0
25,4,2,1,0
25,5,1,1,8
25,6,0,1,0
25,7,1,0,0
25,8,1,0,0
25,9,1,0,7
25,10,0,1,0
25,11,0,1,0
25,12,0,1,2
25,13,0,1,9
25,14,0,1,2
25,15,0,0,9
25,16,0,1,2
25,17,0,1,3
25,18,0,1,2
25,19,0,1,8
25,20,1,1,1
25,21,1,0,8
25,22,0,0,6
25,23,0,1,4
25,24,0,1,0
25,25,0,2,4
25,26,0,1,5
25,27,0,1,0
25,28,1,1,0
25,29,1,1,6
25,30,0,1,4
25,31,0,0,4
25,32,0,0,9
25,33,0,0,6
26,1,0,0,6
26,2,2,1,2
26,3,2,2,3
26,4,1,2,6
26,5,1,2,3
26,6,1,2,9
26,7,2,2,2
26,8,2,2,1
26,9,1,2,8
26,10,1,2,1
26,11,1,2,4
26,12,1,2,5
26,13,1,2,4
26,14,1,2,7
26,15,1,2,4
26,16,0,2,0
26,17,0,2,4
26,18,0,1,6
26,19,1,0,1
26,20,1,0,2
26,21,1,0,7
26,22,1,0,9
26,23,0,0,0
26,24,2,0,5
26,25,2,0,5
26,26,2,0,6
26,27,1,1,1
26,28,1,2,2
26,29,1,2,9
26,30,2,2,1
26,31,1,1,6
27,1,2,1,6
27,2,2,2,9
27,3,0,1,3
27,4,0,0,8
27,5,1,0,8
27,6,1,0,2
27,7,1,0,9
27,8,0,0,1
27,9,0,0,8
27,10,0,1,4
27,11,0,0,3
