start,end,segment_id,class_id
640,19560,1,6
47650,56210,2,6
56350,58420,3,0
58680,63390,4,6
63390,65750,5,0
66400,70550,6,2
70820,82870,7,9
83170,132470,8,2
132470,147360,9,0
149340,190890,10,1
191640,196990,11,2
197620,254510,12,1
255940,290250,13,9
291740,309850,14,3
311780,328250,15,1
331780,339250,16,1
340440,349110,17,9
349110,396850,18,8
398170,405380,19,3
406910,425940,20,1
428340,436480,21,3
437150,463030,22,1
492960,495460,23,6
497840,498800,24,6
501260,511250,25,2
513309,546850,26,0
547710,572880,27,3
580730,663080,28,0
663080,674260,29,4
674590,684760,30,1
685010,714770,31,2
723930,729740,32,4
732690,735070,33,4
735070,784950,34,0
789140,805040,35,0
806340,809540,36,3
811740,820670,37,4
820670,825260,38,0
826680,828600,39,3
843290,899220,40,0
899630,915850,41,6
916870,917970,42,3
924260,925000,43,0
925840,927100,44,3
930410,932000,45,6
932030,933920,46,3
933930,935910,47,2
936250,937280,48,4
937280,940060,49,0
940490,985460,50,6
989230,1026190,51,6
1026200,1028599,52,7
1029270,1036240,53,6
