start,end,segment_id,class_id
220,9380,1,1
9940,27220,2,2
27220,57570,3,2
57570,62580,4,1
62580,64120,5,1
64120,80190,6,1
80190,97780,7,2
97780,140300,8,2
140300,163160,9,2
163160,187290,10,1
187350,191550,11,2
192320,221090,12,2
221090,222460,13,2
222890,260649,14,1
260760,276430,15,0
276850,279620,16,2
279620,289850,17,2
289850,299160,18,0
299160,307110,19,0
307270,310480,20,0
310580,317610,21,0
317610,318620,22,0
318760,330170,23,0
330490,337470,24,0
337710,345980,25,0
345980,348670,26,1
351540,356790,27,2
357200,367210,28,2
367320,368850,29,2
373140,378270,30,2
378270,384610,31,1
384610,391750,32,0
391990,397750,33,2
398140,420310,34,2
