start,end,segment_id,word
146040,146360,4,So
146360,146430,4,you
146430,146530,4,may
146530,146670,4,be
146670,146950,4,asking
146950,147329,4,yourself
147329,147330,4,","
147340,147580,4,What's
147580,147660,4,the
147660,148250,4,difference
148260,149110,4,between
149140,149310,4,a
149320,149640,4,four
149640,150240,4,Siri's
150400,150750,4,Grand
150750,151050,4,Coop
151050,151209,4,A8
151209,151210,4,?
151210,151280,4,Or
151280,151370,4,do
151370,151450,4,you
151450,151600,4,say
151600,151960,4,Coop
152240,152580,4,and
152580,152660,4,a
152670,152900,4,three
152900,153229,4,Siri's
153229,153230,4,?
153230,153419,4,Well
153419,153420,4,","
153420,153530,4,there
153530,153620,4,are
153630,153840,4,three
153840,154160,4,essential
154160,154490,4,difference
154490,154710,4,is
155080,155360,4,first
155360,155490,4,and
155490,156249,4,foremost
156249,156250,4,.
156920,157170,4,This
157170,157440,4,is
157460,157890,4,lower
157890,158050,4,and
158050,158559,4,superior
158559,158560,4,.
